Parameter ID,Instance,Class Name,Module,Parameter Name,Description,Range/Enumerations,Default Value,Data Type,Access,Max Instances
1034,1,Device,Base,AC Line Frequency,Set the frequency used for variable time base control.,"50 Hz (3), 60 Hz (4)",60 Hz (4),Enumeration,R/W,7
1034,2,Device,1,AC Line Frequency,Set the frequency used for variable time base control.,"50 Hz (3), 60 Hz (4)",60 Hz (4),Enumeration,R/W,7
1034,3,Device,2,AC Line Frequency,Set the frequency used for variable time base control.,"50 Hz (3), 60 Hz (4)",60 Hz (4),Enumeration,R/W,7
1034,4,Device,3,AC Line Frequency,Set the frequency used for variable time base control.,"50 Hz (3), 60 Hz (4)",60 Hz (4),Enumeration,R/W,7
1034,5,Device,4,AC Line Frequency,Set the frequency used for variable time base control.,"50 Hz (3), 60 Hz (4)",60 Hz (4),Enumeration,R/W,7
1034,6,Device,5,AC Line Frequency,Set the frequency used for variable time base control.,"50 Hz (3), 60 Hz (4)",60 Hz (4),Enumeration,R/W,7
1034,7,Device,6,AC Line Frequency,Set the frequency used for variable time base control.,"50 Hz (3), 60 Hz (4)",60 Hz (4),Enumeration,R/W,7
61004,1,Digital I/O,1,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,2,Digital I/O,1,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,3,Digital I/O,1,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,4,Digital I/O,1,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,5,Digital I/O,1,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,6,Digital I/O,1,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,11,Digital I/O,2,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,12,Digital I/O,2,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,13,Digital I/O,2,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,14,Digital I/O,2,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,15,Digital I/O,2,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,16,Digital I/O,2,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,21,Digital I/O,3,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,22,Digital I/O,3,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,23,Digital I/O,3,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,24,Digital I/O,3,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,25,Digital I/O,3,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,26,Digital I/O,3,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,31,Digital I/O,4,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,32,Digital I/O,4,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
